Date;Time;Turbidity
2015-04-09;20:10:49;1136.31
2015-04-09;20:12:49;1093.25
2015-04-09;20:14:49;1092.93
2015-04-09;20:16:49;1010.69
2015-04-09;20:18:49;1017.25
2015-04-09;20:20:49;1029.06
2015-04-09;20:22:49;991.44
2015-04-09;20:24:49;1136.63
2015-04-09;20:26:49;980.30
2015-04-09;20:28:49;979.20
2015-04-09;20:30:49;1009.27
2015-04-09;20:32:49;1002.25
2015-04-09;20:34:49;979.70
2015-04-09;20:36:49;998.49
2015-04-09;20:38:49;949.41
2015-04-09;20:40:49;992.18
2015-04-09;20:42:49;920.83
2015-04-09;20:44:49;990.37
2015-04-09;20:46:49;945.72
2015-04-09;20:48:49;924.20
2015-04-09;20:50:49;865.22
2015-04-09;20:52:49;838.23
2015-04-09;20:54:49;842.38
2015-04-09;20:56:49;861.78
2015-04-09;20:58:49;851.28
2015-04-09;21:00:49;813.41
2015-04-09;21:02:49;831.17
2015-04-09;21:04:49;742.05
2015-04-09;21:06:49;734.68
2015-04-09;21:08:49;690.17
2015-04-09;21:10:49;706.37
2015-04-09;21:12:49;636.86
2015-04-09;21:14:49;759.78
2015-04-09;21:16:49;579.13
2015-04-09;21:18:49;650.02
2015-04-09;21:20:49;579.06
2015-04-09;21:22:49;556.79
2015-04-09;21:24:49;576.08
2015-04-09;21:26:49;522.60
2015-04-09;21:28:49;491.18
2015-04-09;21:30:49;550.33
2015-04-09;21:32:49;498.91
2015-04-09;21:34:49;583.14
2015-04-09;21:36:49;476.78
2015-04-09;21:38:49;482.17
2015-04-09;21:40:49;557.32
2015-04-09;21:42:49;442.81
2015-04-09;21:44:49;424.19
2015-04-09;21:46:49;423.94
2015-04-09;21:48:49;425.04
2015-04-09;21:50:49;414.50
2015-04-09;21:52:49;390.25
2015-04-09;21:54:49;377.94
2015-04-09;21:56:49;405.11
2015-04-09;21:58:49;372.62
2015-04-09;22:00:49;477.95
2015-04-09;22:02:49;540.65
2015-04-09;22:04:49;377.62
2015-04-09;22:06:49;360.14
2015-04-09;22:08:49;382.45
2015-04-09;22:10:49;412.09
2015-04-09;22:12:49;363.79
2015-04-09;22:14:49;349.64
2015-04-09;22:16:49;329.04
2015-04-09;22:18:49;333.61
2015-04-09;22:20:49;334.68
2015-04-09;22:22:49;336.73
2015-04-09;22:24:49;343.47
2015-04-09;22:26:49;345.88
2015-04-09;22:28:49;356.95
2015-04-09;22:30:49;341.48
2015-04-09;22:32:49;306.45
2015-04-09;22:34:49;331.38
2015-04-09;22:36:49;321.16
2015-04-09;22:38:49;318.15
2015-04-09;22:40:49;376.98
2015-04-09;22:42:49;297.62
2015-04-09;22:44:49;316.98
2015-04-09;22:46:49;328.01
2015-04-09;22:48:49;281.62
2015-04-09;22:50:49;285.49
2015-04-09;22:52:49;322.44
2015-04-09;22:54:49;285.49
2015-04-09;22:56:49;305.95
2015-04-09;22:58:49;289.88
2015-04-09;23:00:49;301.94
2015-04-09;23:02:49;277.37
2015-04-09;23:04:49;366.45
2015-04-09;23:06:49;303.32
2015-04-09;23:08:49;335.77
2015-04-09;23:10:49;353.15
2015-04-09;23:12:49;349.11
2015-04-09;23:14:49;314.74
2015-04-09;23:16:49;362.02
2015-04-09;23:18:49;339.39
2015-04-09;23:20:49;485.08
2015-04-09;23:22:49;341.87
2015-04-09;23:24:49;343.54
2015-04-09;23:26:49;338.97
2015-04-09;23:28:49;348.08
2015-04-09;23:30:49;345.07
2015-04-09;23:32:49;386.59
2015-04-09;23:34:49;312.26
2015-04-09;23:36:49;308.36
2015-04-09;23:38:49;566.43
2015-04-09;23:40:49;336.73
2015-04-09;23:42:49;375.81
2015-04-09;23:44:49;329.00
2015-04-09;23:46:49;376.03
2015-04-09;23:48:49;321.87
2015-04-09;23:50:49;335.74
2015-04-09;23:52:49;316.48
2015-04-09;23:54:49;327.94
2015-04-09;23:56:49;340.81
2015-04-09;23:58:49;292.51
2015-04-10;0:00:49;307.76
2015-04-10;0:02:49;302.90
2015-04-10;0:04:49;287.26
2015-04-10;0:06:49;276.30
2015-04-10;0:08:49;272.36
2015-04-10;0:10:49;269.99
2015-04-10;0:12:49;266.83
2015-04-10;0:14:49;256.76
2015-04-10;0:16:49;266.02
2015-04-10;0:18:49;250.55
2015-04-10;0:20:49;275.34
2015-04-10;0:22:49;249.21
2015-04-10;0:24:49;241.97
2015-04-10;0:26:49;246.72
2015-04-10;0:28:49;248.32
2015-04-10;0:30:49;236.90
2015-04-10;0:32:49;246.26
2015-04-10;0:34:49;250.91
2015-04-10;0:36:49;250.13
2015-04-10;0:38:49;250.59
2015-04-10;0:40:49;244.49
2015-04-10;0:42:49;249.99
2015-04-10;0:44:49;257.72
2015-04-10;0:46:49;251.90
2015-04-10;0:48:49;265.70
2015-04-10;0:50:49;293.64
2015-04-10;0:52:49;225.09
2015-04-10;0:54:49;237.26
2015-04-10;0:56:49;233.82
2015-04-10;0:58:49;239.06
2015-04-10;1:00:49;240.13
2015-04-10;1:02:49;233.74
2015-04-10;1:04:49;244.53
2015-04-10;1:06:49;273.43
2015-04-10;1:08:49;246.79
2015-04-10;1:10:49;247.82
2015-04-10;1:12:49;216.65
2015-04-10;1:14:49;213.78
2015-04-10;1:16:49;222.68
2015-04-10;1:18:49;249.45
2015-04-10;1:20:49;213.92
2015-04-10;1:22:49;221.86
2015-04-10;1:24:49;203.64
2015-04-10;1:26:49;217.08
2015-04-10;1:28:49;203.03
2015-04-10;1:30:49;202.39
2015-04-10;1:32:49;203.21
2015-04-10;1:34:49;206.86
2015-04-10;1:36:49;197.46
2015-04-10;1:38:49;198.32
2015-04-10;1:40:49;196.86
2015-04-10;1:42:49;202.61
2015-04-10;1:44:49;187.57
2015-04-10;1:46:49;206.93
2015-04-10;1:48:49;194.63
2015-04-10;1:50:49;188.88
2015-04-10;1:52:49;206.15
2015-04-10;1:54:49;186.58
2015-04-10;1:56:49;210.34
2015-04-10;1:58:49;195.87
2015-04-10;2:00:49;199.56
2015-04-10;2:02:49;210.87
2015-04-10;2:04:49;190.27
2015-04-10;2:06:49;200.05
2015-04-10;2:08:49;204.45
2015-04-10;2:10:49;219.49
2015-04-10;2:12:49;208.00
2015-04-10;2:14:49;202.64
2015-04-10;2:16:49;202.96
2015-04-10;2:18:49;223.81
2015-04-10;2:20:49;238.74
2015-04-10;2:22:49;235.30
2015-04-10;2:24:49;306.91
2015-04-10;2:26:49;250.38
2015-04-10;2:28:49;279.46
2015-04-10;2:30:49;260.13
2015-04-10;2:32:49;263.71
2015-04-10;2:34:49;276.23
2015-04-10;2:36:49;349.61
2015-04-10;2:38:49;298.25
2015-04-10;2:40:49;284.67
2015-04-10;2:42:49;299.85
2015-04-10;2:44:49;304.07
2015-04-10;2:46:49;331.13
2015-04-10;2:48:49;341.27
2015-04-10;2:50:49;300.56
2015-04-10;2:52:49;345.14
2015-04-10;2:54:49;343.33
2015-04-10;2:56:49;316.09
2015-04-10;2:58:49;375.10
2015-04-10;3:00:49;340.99
2015-04-10;3:02:49;364.82
2015-04-10;3:04:49;341.63
2015-04-10;3:06:49;375.14
2015-04-10;3:08:49;334.53
2015-04-10;3:10:49;605.27
2015-04-10;3:12:49;319.78
